schema	locality_id	service_id	person_id	person_street_id	person_id_internal	person_id_internal_text	person_id_internal_array	tie	paid_lastmonth	charge	subsidy	paid_currentmonth	recommended	date	meters_readings	payment_details
volyn	10001	21	10001545831	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545832	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545833	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545834	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545835	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545836	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545837	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545838	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545839	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545840	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545841	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545842	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545843	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545844	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545845	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545846	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545847	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545848	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545849	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545850	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545851	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545852	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545853	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545854	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545855	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545856	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545857	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545858	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545859	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545860	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545861	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545862	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545863	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545864	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545865	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545866	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545867	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545868	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545869	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545870	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545871	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545872	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545873	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545874	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545875	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545876	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545877	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545878	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545879	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545880	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545881	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545882	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545883	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
volyn	10001	21	10001545884	\N	\N	\N	\N	0	0	0	0	0	0	21-21-2001	\N	\N
